Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2017,01,01,21.1,1,Y
IDCJAC0010,086338,2017,01,02,17.8,1,Y
IDCJAC0010,086338,2017,01,03,19.5,1,Y
IDCJAC0010,086338,2017,01,04,29.3,1,Y
IDCJAC0010,086338,2017,01,05,31.7,1,Y
IDCJAC0010,086338,2017,01,06,35.2,1,Y
IDCJAC0010,086338,2017,01,07,36.7,1,Y
IDCJAC0010,086338,2017,01,08,33.1,1,Y
IDCJAC0010,086338,2017,01,09,24.4,1,Y
IDCJAC0010,086338,2017,01,10,26.2,1,Y
IDCJAC0010,086338,2017,01,11,24.3,1,Y
IDCJAC0010,086338,2017,01,12,26.5,1,Y
IDCJAC0010,086338,2017,01,13,28.8,1,Y
IDCJAC0010,086338,2017,01,14,23.5,1,Y
IDCJAC0010,086338,2017,01,15,21.5,1,Y
IDCJAC0010,086338,2017,01,16,32.7,1,Y
IDCJAC0010,086338,2017,01,17,37.8,1,Y
IDCJAC0010,086338,2017,01,18,20.8,1,Y
IDCJAC0010,086338,2017,01,19,23.4,1,Y
IDCJAC0010,086338,2017,01,20,20.8,1,Y
IDCJAC0010,086338,2017,01,21,22.6,1,Y
IDCJAC0010,086338,2017,01,22,29.6,1,Y
IDCJAC0010,086338,2017,01,23,36.7,1,Y
IDCJAC0010,086338,2017,01,24,22.0,1,Y
IDCJAC0010,086338,2017,01,25,21.1,1,Y
IDCJAC0010,086338,2017,01,26,21.2,1,Y
IDCJAC0010,086338,2017,01,27,23.6,1,Y
IDCJAC0010,086338,2017,01,28,29.2,1,Y
IDCJAC0010,086338,2017,01,29,27.0,1,Y
IDCJAC0010,086338,2017,01,30,30.0,1,Y
IDCJAC0010,086338,2017,01,31,22.1,1,Y
IDCJAC0010,086338,2017,02,01,20.6,1,N
IDCJAC0010,086338,2017,02,02,24.1,1,N
IDCJAC0010,086338,2017,02,03,27.6,1,N
IDCJAC0010,086338,2017,02,04,35.9,1,N
IDCJAC0010,086338,2017,02,05,30.7,1,N
IDCJAC0010,086338,2017,02,06,18.0,1,N
IDCJAC0010,086338,2017,02,07,27.6,1,N
IDCJAC0010,086338,2017,02,08,36.0,1,N
IDCJAC0010,086338,2017,02,09,36.0,1,N
IDCJAC0010,086338,2017,02,10,27.1,1,N
IDCJAC0010,086338,2017,02,11,24.6,1,N
IDCJAC0010,086338,2017,02,12,19.9,1,N
IDCJAC0010,086338,2017,02,13,21.0,1,N
IDCJAC0010,086338,2017,02,14,19.5,1,N
IDCJAC0010,086338,2017,02,15,31.5,1,N
IDCJAC0010,086338,2017,02,16,23.6,1,N
IDCJAC0010,086338,2017,02,17,25.5,1,N
IDCJAC0010,086338,2017,02,18,18.9,1,N
IDCJAC0010,086338,2017,02,19,17.3,1,N
IDCJAC0010,086338,2017,02,20,20.3,1,N
IDCJAC0010,086338,2017,02,21,24.0,1,N
IDCJAC0010,086338,2017,02,22,33.3,1,N
IDCJAC0010,086338,2017,02,23,25.0,1,N
IDCJAC0010,086338,2017,02,24,20.0,1,N
IDCJAC0010,086338,2017,02,25,19.4,1,N
IDCJAC0010,086338,2017,02,26,29.8,1,N
IDCJAC0010,086338,2017,02,27,33.1,1,N
