Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086338,2017,01,01,8.5
IDCJAC0016,086338,2017,01,02,7.8
IDCJAC0016,086338,2017,01,03,25.9
IDCJAC0016,086338,2017,01,04,31.6
IDCJAC0016,086338,2017,01,05,29.7
IDCJAC0016,086338,2017,01,06,30.1
IDCJAC0016,086338,2017,01,07,28.5
IDCJAC0016,086338,2017,01,08,29.3
IDCJAC0016,086338,2017,01,09,14.3
IDCJAC0016,086338,2017,01,10,28.6
IDCJAC0016,086338,2017,01,11,25.9
IDCJAC0016,086338,2017,01,12,30.7
IDCJAC0016,086338,2017,01,13,1.3
IDCJAC0016,086338,2017,01,14,16.5
IDCJAC0016,086338,2017,01,15,22.7
IDCJAC0016,086338,2017,01,16,30.5
IDCJAC0016,086338,2017,01,17,25.5
IDCJAC0016,086338,2017,01,18,27.5
IDCJAC0016,086338,2017,01,19,29.7
IDCJAC0016,086338,2017,01,20,13.2
IDCJAC0016,086338,2017,01,21,25.1
IDCJAC0016,086338,2017,01,22,30.3
IDCJAC0016,086338,2017,01,23,19.2
IDCJAC0016,086338,2017,01,24,27.6
IDCJAC0016,086338,2017,01,25,29.8
IDCJAC0016,086338,2017,01,26,16.9
IDCJAC0016,086338,2017,01,27,29.3
IDCJAC0016,086338,2017,01,28,29.2
IDCJAC0016,086338,2017,01,29,29.4
IDCJAC0016,086338,2017,01,30,3.7
IDCJAC0016,086338,2017,01,31,26.8
IDCJAC0016,086338,2017,02,01,9.3
IDCJAC0016,086338,2017,02,02,28.2
IDCJAC0016,086338,2017,02,03,28.1
IDCJAC0016,086338,2017,02,04,27.3
IDCJAC0016,086338,2017,02,05,9.3
IDCJAC0016,086338,2017,02,06,3.9
IDCJAC0016,086338,2017,02,07,27.9
IDCJAC0016,086338,2017,02,08,27.7
IDCJAC0016,086338,2017,02,09,24.4
IDCJAC0016,086338,2017,02,10,21.3
IDCJAC0016,086338,2017,02,11,21.0
IDCJAC0016,086338,2017,02,12,12.6
IDCJAC0016,086338,2017,02,13,20.5
IDCJAC0016,086338,2017,02,14,15.6
IDCJAC0016,086338,2017,02,15,26.0
IDCJAC0016,086338,2017,02,16,23.2
IDCJAC0016,086338,2017,02,17,18.4
IDCJAC0016,086338,2017,02,18,16.1
IDCJAC0016,086338,2017,02,19,9.9
IDCJAC0016,086338,2017,02,20,22.4
IDCJAC0016,086338,2017,02,21,25.0
IDCJAC0016,086338,2017,02,22,23.1
IDCJAC0016,086338,2017,02,23,23.5
IDCJAC0016,086338,2017,02,24,13.2
IDCJAC0016,086338,2017,02,25,23.9
IDCJAC0016,086338,2017,02,26,24.2
IDCJAC0016,086338,2017,02,27,23.9
IDCJAC0016,086338,2017,02,28,23.6
IDCJAC0016,086338,2017,03,01,23.7
IDCJAC0016,086338,2017,03,02,22.0
IDCJAC0016,086338,2017,03,03,18.1
IDCJAC0016,086338,2017,03,04,23.0
IDCJAC0016,086338,2017,03,05,16.8
IDCJAC0016,086338,2017,03,06,22.3
IDCJAC0016,086338,2017,03,07,22.4
IDCJAC0016,086338,2017,03,08,22.1
IDCJAC0016,086338,2017,03,09,21.1
IDCJAC0016,086338,2017,03,10,19.4
IDCJAC0016,086338,2017,03,11,13.9
IDCJAC0016,086338,2017,03,12,19.6
IDCJAC0016,086338,2017,03,13,20.7
IDCJAC0016,086338,2017,03,14,20.8
IDCJAC0016,086338,2017,03,15,18.9
IDCJAC0016,086338,2017,03,16,4.8
IDCJAC0016,086338,2017,03,17,20.1
IDCJAC0016,086338,2017,03,18,19.9
IDCJAC0016,086338,2017,03,19,19.7
IDCJAC0016,086338,2017,03,20,11.3
IDCJAC0016,086338,2017,03,21,6.1
IDCJAC0016,086338,2017,03,22,7.3
IDCJAC0016,086338,2017,03,23,17.2
IDCJAC0016,086338,2017,03,24,16.1
IDCJAC0016,086338,2017,03,25,13.5
IDCJAC0016,086338,2017,03,26,14.6
IDCJAC0016,086338,2017,03,27,7.6
IDCJAC0016,086338,2017,03,28,17.8
IDCJAC0016,086338,2017,03,29,14.7
IDCJAC0016,086338,2017,03,30,13.0
IDCJAC0016,086338,2017,03,31,12.3
IDCJAC0016,086338,2017,04,01,13.5
IDCJAC0016,086338,2017,04,02,10.1
IDCJAC0016,086338,2017,04,03,16.8
IDCJAC0016,086338,2017,04,04,16.4
IDCJAC0016,086338,2017,04,05,15.8
IDCJAC0016,086338,2017,04,06,13.5
IDCJAC0016,086338,2017,04,07,15.6
IDCJAC0016,086338,2017,04,08,13.8
IDCJAC0016,086338,2017,04,09,6.5
IDCJAC0016,086338,2017,04,10,3.0
IDCJAC0016,086338,2017,04,11,13.5
IDCJAC0016,086338,2017,04,12,14.0
IDCJAC0016,086338,2017,04,13,13.9
IDCJAC0016,086338,2017,04,14,8.9
IDCJAC0016,086338,2017,04,15,9.7
IDCJAC0016,086338,2017,04,16,10.1
IDCJAC0016,086338,2017,04,17,10.9
IDCJAC0016,086338,2017,04,18,13.7
IDCJAC0016,086338,2017,04,19,12.7
IDCJAC0016,086338,2017,04,20,12.4
IDCJAC0016,086338,2017,04,21,3.6
IDCJAC0016,086338,2017,04,22,11.8
IDCJAC0016,086338,2017,04,23,11.9
IDCJAC0016,086338,2017,04,24,9.9
IDCJAC0016,086338,2017,04,25,5.8
IDCJAC0016,086338,2017,04,26,6.4
IDCJAC0016,086338,2017,04,27,7.1
IDCJAC0016,086338,2017,04,28,6.0
IDCJAC0016,086338,2017,04,29,7.9
IDCJAC0016,086338,2017,04,30,7.3
IDCJAC0016,086338,2017,05,01,8.7
IDCJAC0016,086338,2017,05,02,9.4
IDCJAC0016,086338,2017,05,03,10.8
IDCJAC0016,086338,2017,05,04,12.0
IDCJAC0016,086338,2017,05,05,10.6
IDCJAC0016,086338,2017,05,06,6.1
IDCJAC0016,086338,2017,05,07,9.4
IDCJAC0016,086338,2017,05,08,7.2
IDCJAC0016,086338,2017,05,09,7.3
IDCJAC0016,086338,2017,05,10,11.3
IDCJAC0016,086338,2017,05,11,8.6
IDCJAC0016,086338,2017,05,12,9.9
IDCJAC0016,086338,2017,05,13,10.1
IDCJAC0016,086338,2017,05,14,7.7
IDCJAC0016,086338,2017,05,15,8.2
IDCJAC0016,086338,2017,05,16,9.0
IDCJAC0016,086338,2017,05,17,3.8
IDCJAC0016,086338,2017,05,18,9.8
IDCJAC0016,086338,2017,05,19,2.5
IDCJAC0016,086338,2017,05,20,9.8
IDCJAC0016,086338,2017,05,21,6.8
IDCJAC0016,086338,2017,05,22,10.1
IDCJAC0016,086338,2017,05,23,7.4
IDCJAC0016,086338,2017,05,24,8.0
IDCJAC0016,086338,2017,05,25,5.7
IDCJAC0016,086338,2017,05,26,8.2
IDCJAC0016,086338,2017,05,27,8.3
IDCJAC0016,086338,2017,05,28,7.6
IDCJAC0016,086338,2017,05,29,8.0
IDCJAC0016,086338,2017,05,30,6.9
IDCJAC0016,086338,2017,05,31,8.5
IDCJAC0016,086338,2017,06,01,4.7
IDCJAC0016,086338,2017,06,02,7.3
IDCJAC0016,086338,2017,06,03,8.3
IDCJAC0016,086338,2017,06,04,9.3
